"uid","flds_comp","order_no","serial_no","warehouse_type","storage_location","lot_no","product_no","product_name","specification","quantity","unit","packing_quantity","packing_unit","attribute1","attribute2","attribute3","attribute4","attribute5"
"0","0000","220309208600000040","0000","F05","B0001",,"220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","36.57","支","0.000","Kg",,,,,
"1","0000","220309208600000040","0000","F05","B0001",,"220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","364","支","0.000","Kg",,,,,
"2","0000","220309208600000040","0000","F05","B0001",,"220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","214","支","0.000","Kg",,,,,
"2203092086000000400000F05B0001","0000","220309208600000040","0000","F05","B0001","0000","220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","214","支","0.000","Kg",,,,,
"2203092086000000400001F05B0001","0000","220309208600000040","0000","F05","B0001","0001","220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","145","支","0.000","Kg",,,,,
"2203092086000000400011F05B0001","0000","220309208600000040","0000","F05","B0001","0011","220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","324","支","0.000","Kg",,,,,
"2203092086000000400041F05B0001","0000","220309208600000040","0500","F05","B0001","0041","220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","36.57","支","0.000","Kg",,,,,
"220309208600000040F05B0001","0000","220309208600000040","0000","F05","B0001",,"220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","364","支","0.000","Kg",,,,,
"2203092086000300401131F05B0001","0000","220309208600000040","0000","F05","B0001","1131","220309208600030040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","214","支","0.000","Kg",,,,,
"2203092086000300401231F05B0001","0000","220309208600000040","0000","F05","B0001","1231","220309208600030040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","214","支","0.000","Kg",,,,,
"2203092086020300401131F05B0001","0020","220309208600000040","0000","F05","B0001","1131","220309208602030040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","145","支","0.000","Kg",,,,,
"3","0000","220309208600000040","0000","F05","B0001",,"220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","324","支","0.000","Kg",,,,,
